"Site_number";"Grazing";"Altitude";"Inclination"
"BE708";"0";22;0
"BE709";"0";12;0
"BE710";"0";20;0
"BE711";"0";8;0
"BE712";"2";23;0
"BE713";"1";21;0
"BE714";"0";50;0
"BE715";"0";89;0
"BE716";"0";44;0
"DK717";"0";7;0
"DK719";"2";34;0
"DK720";"2";74;0
"FR701";"0";73;0
"FR702";"1";110;4
"FR703";"0";55;0
"FR704";"0";9;0
"FR705";"0";53;0
"FR706";"0";99;5
"FR707";"0";242;20
"FR708";"0";82;35
"FR709";"0";279;30
"FR710";"1";248;15
"FR711";"2";236;30
"FR712";"2";590;5
"FR713";"2";586;2
"FR714";"0";607;5
"FR715";"2";614;5
"FR716";"0";300;3
"FR717";"0";249;0
"FR718";"0";325;0
"FR719";"1";232;3
"FR720";"2";179;5
"FR721";"0";99;0
"FR722";"0";163;7
"FR723";"1";75;3
"FR724";"0";59;0
"FR725";"0";375;0
"GE705";"2";94;2
"GE706";"2";89;0
"GE707";"2";94;0
"GE708";"2";85;0
"GE709";"2";64;0
"GE710";"2";21;0
"GE711";"2";16;0
"GE712";"0";705;5
"GE713";"0";812;10
"GE714";"0";560;5
"GE715";"0";722;0
"GE716";"2";107;0
"NL701";"0";20;0
"NL702";"0";20;0
"NL703";"0";5;0
"NL704";"0";4;0
"NL705";"0";15;0
"NL706";"1";42;0
"NL707";"0";20;0
"NW717";"2";5;12
"NW718";"1";40;5
"NW719";"2";27;9
"NW720";"1";260;17
"NW721";"2";103;15
"NW722";"1";171;13
"NW723";"1";273;3
"NW724";"1";30;7
"NW725";"1";530;29
"SE701";"1";60;5
"SE702";"1";75;5
"SE703";"1";75;5
"SE704";"2";64;7
"UK701";"1";20;10
"UK702";"1";67;45
"UK703";"0";99;0
"UK704";"1";239;20
"UK705";"1";172;45
"UK706";"2";241;5
"UK707";"1";587;22
"UK708";"2";299;7
"UK709";"1";709;8
"UK710";"1";351;32
"UK711";"1";59;0
"UK712";"2";180;30
"UK713";"1";271;50
"UK714";"1";126;40
"UK715";"2";77;8
"UK716";"1";420;15
"UK717";"1";143;20
"UK718";"1";59;7
"UK719";"1";245;30
"UK720";"1";190;15
