"Site_number";"Agrostis_capillaris";"Anthoxanthum_odoratum";"Calluna_vulgaris";"Carex_pilulifera";"Danthonia_decumbens";"Deschampsia_flexuosa";"Festuca_ovina";"Festuca_rubra";"Galium_saxatile";"Hypnum_cupressiforme";"Luzula_campestris";"Nardus_stricta";"Pleurozium_schreberi";"Potentilla_erecta";"Pseudoscleropodium_purum";"Rhytidiadelphus_squarrosus"
"BE708";13;0;19;2;13;0;15;0;0;27;2;11;4;16;7;0
"BE709";14;0;18;10;14;0;4;5;0;42;0;0;0;17;2;0
"BE710";22;0;11;7;21;0;4;20;0;14;1;7;0;19;21;0
"BE711";24;5;12;1;0;0;5;20;0;20;18;11;0;0;17;7
"BE712";22;0;11;0;0;7;8;2;0;26;27;0;0;0;17;6
"BE713";8;4;11;14;15;0;0;0;0;24;4;10;10;25;24;12
"BE714";18;7;21;3;19;12;23;8;0;0;15;7;38;11;5;5
"BE715";27;3;10;18;10;17;4;8;8;23;7;0;18;14;14;17
"BE716";29;0;19;6;3;1;0;7;0;16;20;0;0;12;20;9
"DK717";19;0;5;0;0;38;15;7;15;22;5;0;20;9;9;0
"DK719";10;0;12;0;0;18;3;27;26;5;16;0;28;23;15;0
"DK720";13;0;15;9;0;31;20;5;19;5;9;0;6;0;0;0
"FR701";20;20;0;20;37;4;0;29;0;0;18;0;3;0;19;0
"FR702";37;35;0;0;2;0;0;0;0;0;19;0;1;19;19;0
"FR703";24;6;1;2;29;0;0;22;0;3;16;0;0;0;16;0
"FR704";9;10;12;13;19;0;0;23;0;4;11;0;0;6;7;0
"FR705";25;16;0;0;28;0;0;13;0;15;0;0;0;10;10;0
"FR706";1;0;25;13;11;0;0;10;0;13;0;0;0;20;9;0
"FR707";0;3;24;8;9;17;0;12;2;7;2;0;0;19;4;1
"FR708";28;21;0;3;17;8;0;30;0;0;10;0;0;22;15;22
"FR709";5;0;12;11;10;10;0;25;3;0;0;0;2;13;5;9
"FR710";0;0;18;10;3;2;0;6;0;28;1;0;0;12;20;0
"FR711";8;0;6;10;10;6;0;19;0;10;4;0;6;18;16;7
"FR712";29;10;1;9;14;0;0;12;7;0;15;27;4;27;18;22
"FR713";20;5;3;10;12;0;0;32;5;0;16;12;1;36;18;3
"FR714";20;0;2;5;16;0;0;18;30;0;13;32;9;24;26;17
"FR715";17;0;0;4;20;0;0;22;0;0;15;23;0;13;18;22
"FR716";20;19;3;0;12;0;27;18;0;0;25;0;8;0;4;17
"FR717";23;13;5;0;12;1;7;3;0;0;20;0;0;0;14;7
"FR718";5;3;25;4;6;0;32;2;0;7;17;27;16;6;0;0
"FR719";10;6;0;0;0;0;12;21;0;0;24;0;0;0;1;1
"FR720";4;20;0;1;2;0;0;20;0;0;23;0;0;0;0;2
"FR721";26;28;7;9;7;0;15;0;0;0;10;0;2;32;4;7
"FR722";6;1;10;17;33;0;8;0;5;9;0;5;8;14;19;0
"FR723";23;1;4;0;19;0;24;0;0;12;0;0;4;0;16;0
"FR724";28;14;0;1;9;0;0;7;8;5;10;2;0;24;15;12
"FR725";7;4;1;1;16;0;0;4;0;12;2;0;0;11;0;0
"GE705";16;0;2;10;0;23;0;0;15;22;4;33;29;0;0;12
"GE706";2;0;3;10;0;20;25;0;15;27;4;31;30;0;0;0
"GE707";15;0;0;8;0;20;20;5;16;18;4;32;31;0;0;21
"GE708";11;0;15;8;0;24;29;0;19;25;2;31;22;0;0;0
"GE709";22;0;2;3;0;12;0;0;10;22;7;38;5;0;0;20
"GE710";17;0;4;4;2;21;18;0;9;4;13;13;31;0;0;10
